135
x y z vx vy vz KE
0.556998 0.552259 0.555752 0.543532 -1.207631 -0.539575 0.000000
0.551105 0.554180 1.652796 -0.770140 -0.464668 1.370400 0.000000
0.544534 0.548947 2.745584 -1.168600 -0.123122 0.125614 0.000000
0.542954 0.541006 3.839361 -0.862798 -0.992856 -0.708828 0.000000
0.541452 0.548079 4.940322 0.967277 1.606020 -0.427210 0.000000
0.554222 0.539633 6.047362 0.528740 1.952851 -0.516684 0.000000
0.547792 0.552209 7.158517 2.492212 -0.898246 -1.639505 0.000000
0.547218 0.555251 8.253236 1.024493 -0.924168 -0.335907 0.000000
0.554028 0.563618 9.352290 -0.875870 -0.077012 -0.270122 0.000000
0.558258 0.545603 10.435206 1.166850 -0.431131 -1.278725 0.000000
0.551354 0.540509 11.547865 -0.260027 -0.984624 2.182921 0.000000
0.547802 0.544046 12.654887 -0.391682 -0.112282 -2.169920 0.000000
0.540043 0.534091 13.732674 -0.441638 -0.732364 0.789503 0.000000
0.560293 0.533865 14.823126 -0.976838 -1.558220 0.178658 0.000000
0.557647 0.550316 15.953305 -1.126225 1.056134 -0.620218 0.000000
1.674404 0.540749 0.549452 0.101404 -0.375412 -0.163336 0.000000
1.660378 0.551694 1.648740 0.962778 -0.706008 -0.164254 0.000000
1.652287 0.546938 2.739991 -1.229445 1.399019 0.560879 0.000000
1.646159 0.552635 3.850383 0.819039 -1.393582 -0.883009 0.000000
1.661010 0.545761 4.956435 0.550812 0.572653 0.812945 0.000000
1.632930 0.549226 6.053300 0.209133 0.233324 1.416877 0.000000
1.654658 0.559540 7.140050 -0.533410 0.002738 0.335280 0.000000
1.659585 0.539710 8.249087 1.760624 -0.967374 -0.113184 0.000000
1.653370 0.567976 9.341918 -0.482586 -1.251430 -0.802547 0.000000
1.645603 0.543369 10.468528 -0.368550 0.019890 -0.185187 0.000000
1.667936 0.550147 11.561711 0.322642 0.264030 0.245929 0.000000
1.643545 0.525351 12.653131 0.761903 0.286694 -0.903584 0.000000
1.655177 0.545383 13.752659 -2.186781 1.585676 1.375252 0.000000
1.641421 0.542022 14.854106 1.701553 -0.204188 -1.514528 0.000000
1.645157 0.550330 15.949957 1.033407 -0.538688 -0.070970 0.000000
2.738214 0.563191 0.547430 1.549921 -1.415353 0.435400 0.000000
2.752506 0.565361 1.651894 -0.687618 -0.958722 -1.186491 0.000000
2.763930 0.564991 2.723641 2.570863 -0.259715 0.670735 0.000000
2.741635 0.548933 3.852256 -0.109454 0.577632 0.122443 0.000000
2.750727 0.554601 4.958051 0.323303 -0.169340 1.316994 0.000000
2.751370 0.541175 6.037485 -0.495751 -0.748889 0.424278 0.000000
2.757941 0.571103 7.162164 1.195069 -0.829193 -0.309411 0.000000
2.750026 0.544184 8.256085 -0.804825 0.120947 1.474284 0.000000
2.742786 0.538519 9.340063 0.411836 -0.385364 1.679264 0.000000
2.740276 0.548227 10.448270 -0.045138 1.278003 -0.702974 0.000000
2.749808 0.545336 11.543242 1.060697 -0.778945 0.996863 0.000000
2.743994 0.565294 12.646160 0.781639 0.447673 -0.959192 0.000000
2.750529 0.552300 13.750442 -0.943517 1.415006 -1.122860 0.000000
2.735463 0.547153 14.858902 0.247409 0.737560 -0.039403 0.000000
2.745115 0.546796 15.946512 0.443875 -1.442005 -0.227844 0.000000
0.532905 1.649422 0.545220 1.304227 -0.000068 1.534856 0.000000
0.543480 1.642341 1.654174 -1.083747 0.261891 0.151469 0.000000
0.566026 1.639681 2.747454 -0.766967 -0.503933 0.193844 0.000000
0.549605 1.653761 3.863061 0.019594 0.437510 -0.615923 0.000000
0.549863 1.648099 4.970759 -1.289601 0.946795 -1.042738 0.000000
0.554475 1.669086 6.043205 0.910438 -1.385436 -0.852131 0.000000
0.542239 1.636676 7.157152 0.093012 -0.222128 -0.249314 0.000000
0.548306 1.645333 8.242432 -1.255290 0.191422 0.394865 0.000000
0.559142 1.643305 9.375563 -1.306722 -0.072707 0.093923 0.000000
0.550112 1.635081 10.440439 1.154653 1.834619 1.233992 0.000000
0.530854 1.640031 11.563080 -1.614206 1.447074 -0.497536 0.000000
0.551665 1.659171 12.656208 -0.134960 -1.806952 -0.172346 0.000000
0.540266 1.651349 13.731224 0.704296 -0.663205 0.152779 0.000000
0.557777 1.652202 14.842768 1.617166 1.504750 0.522273 0.000000
0.547218 1.627321 15.960669 -0.140593 0.105168 0.096882 0.000000
1.650493 1.670371 0.539686 -0.299492 1.487233 -1.647025 0.000000
1.645459 1.655349 1.652327 0.440179 -0.770939 0.109566 0.000000
1.638779 1.632933 2.763568 1.043455 -0.132709 1.567088 0.000000
1.653931 1.631759 3.865997 -0.449465 1.442997 -0.621804 0.000000
1.658769 1.634569 4.953755 -1.208603 1.258360 0.243270 0.000000
1.648306 1.648956 6.052119 -1.097820 -0.461047 -0.638773 0.000000
1.664412 1.630946 7.143240 -1.229300 0.751517 1.081021 0.000000
1.639562 1.655186 8.230993 0.953491 0.844659 0.626841 0.000000
1.649581 1.649838 9.356946 -0.069455 0.381901 1.206151 0.000000
1.659488 1.643705 10.455496 -0.898217 0.533279 0.263275 0.000000
1.661281 1.667144 11.550841 -0.158522 -1.470173 1.194853 0.000000
1.678095 1.643628 12.676027 -0.651826 -1.705517 0.716999 0.000000
1.654035 1.646851 13.752500 -0.902101 0.408610 -0.565375 0.000000
